,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_request,mem_request,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
100,0.3,9270640,23361,0.1,1,90.0,3.0,7c440952-f382-4da1-a382-4724fa741b2c,2543220.0,53541.0,-1.0,-1.0,102327.26167330443,21002813439.0,59859.145881543736,86310.94037262467,921791400.2502317,725487326.6773316
101,0.3,9270024,23361,0.1,1,90.0,3.0,d3f0c5be-921b-4920-9a85-153e3fd05a60,2543220.0,59874.0,1.0,17179869183.0,191190.93951246404,41867775999.0,54418.37503834322,60534.50385230982,813000798.6046703,203626311.44831893
102,0.3,9271680,23361,0.1,1,90.0,5.0,4245241d-4497-4b75-9d3c-9caa1fd907ad,2543220.0,41153.0,-1.0,-1.0,159202.3616205575,52755185663.0,95035.83421354255,205755.03598002344,810486236.1238502,1657447881.6777453
103,0.3,2572912,16486,0.1,1,90.0,5.0,1df47199-e5ad-422c-9266-31228872baa3,1053216.0,6652.0,-1.0,-1.0,19969.99159201621,9207640064.0,16307.441580353589,15653.463294931023,108063991.58779773,4469574.422654228
104,0.3,2540600,16486,0.1,1,90.0,3.0,0c0a0e42-7ef8-4406-b597-3c0748a867bd,1053216.0,11085.0,-1.0,-1.0,24398.332991719028,9207640064.0,19901.762662547153,19092.34794396466,132609730.81066978,5462281.811451509
105,0.3,9268832,23361,0.1,1,90.0,5.0,c6f53d9a-aeba-45da-9f82-c80871adca8a,2543220.0,35585.0,-1.0,-1.0,71160.07257898274,21149065216.0,115545.64711673697,281186.5649789029,871287626.0659589,1213733358.0414615
106,0.3,9261376,23361,0.1,1,90.0,3.0,b6784cca-0e3c-433a-ad58-d33377af7a99,2543220.0,38426.0,-1.0,-1.0,74033.48544130474,21149065216.0,117303.55577864673,283314.9355251019,894528219.3651527,1213780401.452342
107,0.3,9264108,23361,0.1,1,90.0,5.0,c838f163-0b78-4707-b4ab-33f0f85c833a,2543220.0,41709.0,-1.0,-1.0,167015.2443848421,41421172735.0,55515.91108711304,99813.33138948886,879381870.0089993,328722231.7201584
108,0.3,9262940,23361,0.1,1,90.0,3.0,9afe6f55-cd6f-498a-b4f0-d49ab5c07cf0,2543220.0,43697.0,-1.0,-1.0,170992.7174381623,41421172735.0,56255.30578988006,100581.35204455798,890796669.5885134,328728577.9577084
109,0.3,9265180,23361,0.1,1,90.0,5.0,12318bbe-4ecb-45ca-9e0a-db112f5ad3fb,2543220.0,43112.0,-1.0,-1.0,86305.10502704792,20681539583.0,80685.89006499536,119409.63286908079,868519137.7078924,358242583.53890437
110,0.3,9264816,23361,0.1,1,90.0,3.0,d6fa87a3-9448-4920-9377-4b9bfde8b385,2543220.0,45963.0,-1.0,-1.0,89145.96825109154,20683382783.0,125370.22953668717,241851.17559388504,895121945.0481915,2027711759.5194955
111,0.3,9255312,23361,0.1,1,90.0,3.0,81ec0274-b62b-4f33-95d2-9f444827e0d5,2543220.0,31426.0,1.0,17179869183.0,62931.87758718844,20967071743.0,37609.14855141674,32888.74524036931,693014968.4892709,10944824.367016874
112,0.3,9257304,23361,0.1,1,90.0,5.0,2de6b65d-0a4e-431b-a9e7-d25548665b10,2543220.0,55940.0,1.0,-1.0,87473.7441450172,20977045503.0,63464.24138295945,138963.74361449637,891701476.3935089,613587515.9138708
113,0.3,9265184,23361,0.1,1,90.0,5.0,9c3e7fe8-a747-48f5-bc33-f1dd0f486826,2543220.0,46943.0,1.0,17179869183.0,78534.65378381786,22334001151.0,107832.69812674439,177857.5244612926,884504338.4421949,612947389.0943406
114,0.3,9264492,23361,0.1,1,90.0,3.0,ff9f431a-6a00-451a-aacc-fb6bb4280e6f,2543220.0,31587.0,1.0,17179869183.0,63127.3027051948,32306683903.0,152939.81484217366,216539.9830333967,781289800.9639746,1210399298.6226416
115,0.3,9259672,23361,0.1,1,90.0,3.0,bb86534e-10d5-4739-ad32-ab5a5b193e4e,2543220.0,50049.0,1.0,17179869183.0,87965.70032768596,20964569087.0,43297.03917944344,44735.86474372884,878353501.777195,9285323.463740472
116,0.3,9261080,23361,0.1,1,90.0,5.0,ae86d8ef-f463-4269-b430-c6512a1fa4ff,2543220.0,37922.0,-1.0,-1.0,75812.27641314708,20964802559.0,96771.08396202166,236349.29815940882,812140292.4432975,2104042120.3969722
117,0.3,9265544,23361,0.1,1,90.0,5.0,61061bca-2456-48d7-8bab-5da9d82bae2a,2543220.0,43603.0,-1.0,-1.0,87370.17175621368,41921884159.0,103602.05785990547,270517.4689091744,811990835.8884027,1814982061.7754369
118,0.3,9263936,23361,0.1,1,90.0,3.0,79a0e550-d55f-4cf8-b2e0-c5f1ea99c29e,2543220.0,58415.0,1.0,17179869183.0,99839.66983409548,20993552383.0,59387.01182339775,76033.86775461513,857668448.2468143,109998815.61409515
