,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,queue_seconds,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
269,0.3,11078224,18801,0.1,1,90.0,5.0,d2490e13-3390-4ad2-9894-957a0d5a1030,1854216.0,41197.0,55.0,121506.13953360764,34711371775.0,71132.84897310311,185029.7235068844,287062516.4869716,2282811537.412852
270,0.3,11137352,18801,0.3,1,90.0,5.0,c426a7a7-9118-4113-9e78-225a6c147e75,1854216.0,33852.0,15.0,67686.77707593053,23280783359.0,55556.77954285714,347029.6616102041,5645131.297212837,2297478296.886231
271,0.3,11137604,18801,0.3,1,90.0,3.0,f5907592-1f08-4448-aeb9-67a11cfebef7,1854216.0,35680.0,12.0,69587.88039353401,23280783359.0,63659.17168638202,357636.50071710214,247372261.2260064,2298502611.5772567
272,0.5,11119256,18801,0.1,1,90.0,5.0,d813ba46-c731-45ee-997d-0e247ed705a9,1854216.0,36450.0,25.0,72857.28312894606,23227092991.0,44201.329787510826,232821.3736438321,4548944.01281531,1317084309.6846097
273,0.5,11101184,18801,0.1,1,90.0,3.0,d6b46389-71d0-4947-bedc-ee0fa38d7580,1854216.0,37632.0,28.0,74107.32670118856,23227092991.0,50030.13395923906,239688.93240590283,234014600.4012544,1318063071.7430067
274,0.5,11112032,18801,0.3,1,90.0,3.0,ca83aa3e-0c8e-477d-8e4c-b8ab49626752,1854216.0,35807.0,34.0,107329.13804229654,34816327679.0,34343.5729376044,154889.78551682804,3414427.4115006137,1256340996.1834197
275,0.5,11112292,18801,0.3,1,90.0,5.0,d9b1cfad-1ead-4ac6-87a3-7f21f18e14b8,1854216.0,41229.0,32.0,118256.6605381394,34816557055.0,39305.209574436805,161451.8332738205,178404476.52914387,1257528703.150957
276,0.3,11120480,18801,0.1,1,90.0,3.0,a2fb20ee-3343-41d7-8d6f-bc892736b197,1854216.0,36161.0,44.0,108361.64656632584,34847186943.0,41913.4132974231,89700.23171970075,4258901.140130174,1307527963.5216007
277,0.3,11122672,18801,0.1,1,90.0,5.0,794282d9-d4b1-4f0f-af07-22073de3db83,1854216.0,49173.0,42.0,134504.24141309335,34851667967.0,53261.20549214257,105164.71984135556,312849827.448979,1309139199.7223833
278,0.5,11072880,18801,0.1,1,90.0,5.0,f2167ecf-d70c-4f00-85f2-1adf9fdc54c6,1854216.0,50890.0,1333.0,142625.2933937282,80056619007.0,41450.82165895017,79934.44748676474,416544636.503084,657021582.085209
