,runtime,sim_time,surface_moisture,timestep,wind_direction,wind_speed,canopy_moisture,run_max_mem_rss_bytes,area,steps_fire
482,14256,27251,0.25,600,90.0,2.235,1.0,3918448,648024.0,600
483,1440,4225,0.3,600,180.0,15.0,0.4,2658700,820864.0,600
484,13427,11359,0.07,600,150.0,3.129,0.8,2470820,1981888.0,600
485,2248,4225,0.1,600,90.0,10.0,0.5,2659484,820864.0,600
486,19343,8543,0.09,600,255.0,3.129,0.9,4231588,648024.0,600
487,12210,27251,0.1,600,60.0,6.705,1.0,3920600,648024.0,600
488,2258,4225,0.1,600,180.0,15.0,0.5,2660056,820864.0,600
489,9071,6906,0.1,600,240.0,6.705,0.9,2566040,820080.0,600
490,2723,9396,0.2,600,90.0,4.47,0.9,2456596,646416.0,600
491,23802,6705,0.05,600,90.0,1.341,0.9,4246812,648024.0,600
492,16109,10603,0.05,600,150.0,4.47,0.9,2466208,1981888.0,600
493,509,5223,0.15,600,90.0,6.705,0.9,452136,294840.0,600
494,9231,11382,0.05,600,150.0,2.682,0.9,2471352,1981888.0,600
495,2237,4613,0.05,600,270.0,3.0,0.9,2446872,646416.0,600
496,7978,14997,0.08,600,330.0,6.705,1.1,3919500,648024.0,600
497,2119,4225,0.2,600,120.0,15.0,0.4,2659264,820864.0,600
498,1795,6748,0.15,600,90.0,4.47,0.9,1336480,646416.0,600
499,11055,11382,0.05,600,60.0,2.682,1.0,2470364,1981888.0,600
500,4482,4503,0.1,600,35.0,8.941,1.0,1935808,560976.0,600
501,3223,5983,0.2,600,210.0,2.235,0.9,2275384,648024.0,600
502,497,3937,0.07,600,240.0,4.47,0.95,517668,359488.0,600
503,2582,5945,0.1,600,90.0,4.47,1.0,1336928,646416.0,600
504,539,4228,0.05,600,240.0,6.705,1.0,516776,359488.0,600
505,3035,4225,0.2,600,180.0,5.0,0.4,2659464,820864.0,600
506,1169,5651,0.1,600,120.0,2.235,0.9,1749184,560976.0,600
507,447,4235,0.12,600,270.0,4.47,1.0,517080,359488.0,600
508,2201,19838,0.1,600,90.0,2.235,1.0,452272,294840.0,600
509,942,5651,0.1,600,120.0,4.47,0.9,1749268,560976.0,600
510,2793,4225,0.1,600,90.0,10.0,0.3,2659472,820864.0,600
511,19284,27251,0.1,600,90.0,4.47,1.0,3920172,648024.0,600
512,2162,5918,0.2,600,60.0,6.705,1.0,2462132,646416.0,600
513,1104,5295,0.05,600,170.0,1.341,1.2,646944,538244.0,600
514,11529,11359,0.05,600,150.0,3.129,1.0,2470840,1981888.0,600
515,1427,11719,0.15,600,60.0,4.47,1.0,451780,294840.0,600
516,481,4228,0.05,600,300.0,2.235,1.1,516568,359488.0,600
517,10059,14997,0.1,600,330.0,4.47,1.0,3919996,648024.0,600
518,11020,11359,0.05,600,180.0,4.023,0.8,2468928,1981888.0,600
519,8956,10666,0.15,600,90.0,2.235,0.9,2467416,1981888.0,600
520,17461,6640,0.15,600,90.0,2.235,1.2,4229956,648024.0,600
521,2145,5945,0.1,600,60.0,4.47,1.0,1336964,646416.0,600
522,8269,14997,0.15,600,330.0,4.47,1.0,3919448,648024.0,600
523,8616,14997,0.08,600,360.0,6.705,1.1,3919060,648024.0,600
524,8027,15425,0.1,600,120.0,2.235,0.9,3899972,648024.0,600
525,566,4228,0.05,600,270.0,2.235,1.0,516560,359488.0,600
526,3573,4209,0.1,600,100.0,3.0,0.9,3923132,648024.0,600
527,5500,14997,0.15,600,360.0,6.705,1.0,3919176,648024.0,600
528,3053,4552,0.08,600,205.0,2.0,1.0,3761968,744952.0,600
529,8882,10666,0.2,600,60.0,4.47,0.9,2469396,1981888.0,600
530,10998,6906,0.15,600,270.0,2.235,1.1,2565176,820080.0,600
531,12870,7313,0.2,600,300.0,4.47,1.1,2551812,820080.0,600
532,3548,3953,0.0,600,200.0,4.0,1.0,2118756,619584.0,600
533,1731,4682,0.25,600,270.0,3.0,0.9,2261528,648024.0,600
534,37041,10342,0.07,600,0.0,4.0,1.0,16965392,5433648.0,600
535,9609,27251,0.2,600,90.0,4.47,1.0,3918772,648024.0,600
536,3388,5918,0.15,600,120.0,2.235,0.9,2461908,646416.0,600
537,7243,6906,0.2,600,270.0,6.705,1.1,2565320,820080.0,600
538,7490,7313,0.1,600,300.0,4.47,0.9,2551620,820080.0,600
539,774,3937,0.05,600,300.0,6.705,0.95,517648,359488.0,600
540,12683,6906,0.15,600,300.0,2.235,0.9,2565292,820080.0,600
541,8320,7313,0.2,600,240.0,6.705,1.1,2552132,820080.0,600
542,7633,4225,0.1,600,90.0,20.0,0.4,2659432,820864.0,600
543,1474,4613,0.25,600,270.0,3.0,0.9,2458232,646416.0,600
544,2309,4613,0.1,600,270.0,3.0,0.9,1650904,640000.0,600
545,374,4228,0.09,600,300.0,4.47,1.1,516680,359488.0,600
546,14940,27251,0.15,600,90.0,6.705,0.9,3920048,648024.0,600
547,2455,5918,0.2,600,90.0,6.705,1.0,2461860,646416.0,600
548,2623,5918,0.2,600,90.0,6.705,0.9,2449416,646416.0,600
549,1617,4225,0.1,600,120.0,15.0,0.3,2659460,820864.0,600
550,1222,4594,0.1,600,60.0,2.235,0.9,1380256,404480.0,600
551,2401,4225,0.3,600,120.0,5.0,0.5,2658956,820864.0,600
552,2709,4225,0.2,600,120.0,5.0,0.4,2659300,820864.0,600
553,13736,10951,0.06,600,145.0,4.023,1.0,3896808,962800.0,600
554,477,5223,0.15,600,90.0,2.235,0.9,452072,294840.0,600
555,2006,5983,0.2,600,150.0,6.705,1.0,2275484,648024.0,600
556,16127,7313,0.2,600,270.0,2.235,1.1,2551924,820080.0,600
557,686,5223,0.2,600,60.0,6.705,0.9,451956,294840.0,600
558,1567,11719,0.15,600,120.0,2.235,0.9,451856,294840.0,600
